Piezometer,campaign,date,latitude,longitude,pH,EC,Na,Mg,K,Ca,F,Cl,NO3,PO4,SO4,HCO3,Li,Be,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,As,Se,Sr,Mo,Cd,Sb,Ba,Tl,Pb,U,PVC,PE,PP,PS,PFTE,PA,PET,other,MP_total,MPs_ppl,cluster
S1,campaign_1,14/07/2025,43.821661,10.336392,8.89,4061,605.0,117.0,26.0,161.01,0.45,957.0,8.0,6.9,140.0,799,0.0146,6.5e-06,0.0022,0.0014,0.081,0.05,0.00027,0.00045,0.00045,0.018,0.00031,0.0035,1.865,7e-06,6e-05,4e-05,0.035,1.5e-05,0.00122,5e-05,25,26,3,4,4,0,0,8,70,7.0,0
S2,campaign_1,15/07/2025,43.795564,10.338532,8.57,11980,2262.0,373.0,83.0,156.0,0.0,0.0,0.0,0.0,0.0,2860,0.0119,6.5e-06,0.0129,0.0044,1.061,0.167,0.0014,0.0098,0.0013,0.052,0.0037,0.011,2.194,0.0002,0.000175,0.000115,0.348,4e-05,0.00095,7e-05,3,15,3,0,2,1,1,3,28,2.8,2
S3,campaign_1,16/07/2025,43.78345,10.357024,8.28,1773,209.0,64.0,2.3,175.0,0.3,91.0,0.75,2.0,52.0,1177,0.0018,6.5e-06,0.0006,0.00042,0.318,0.241,0.00074,0.0043,0.00083,0.017,0.00063,0.0015,1.164,0.00043,6e-05,0.000237,0.08,1.5e-05,0.00064,0.0058,0,17,5,0,0,0,0,3,25,2.5,0
S4,campaign_1,23/07/2025,43.817407,10.366752,6.85,738,36.9,23.4,4.4,170.0,0.28,24.4,2.3,0.8,135.0,366,0.0046,6.5e-06,0.00103,0.00145,0.809,0.047,0.00012,0.0026,0.00048,0.0075,0.00036,0.0015,0.643,0.00049,2.5e-05,9e-05,0.027,1.5e-05,0.00015,8e-05,4,6,3,1,1,0,0,0,15,1.5,0
S5,campaign_1,21/07/2025,43.816014,10.318673,6.55,7680,1162.0,150.0,31.0,107.0,6.0,2868.0,16.0,41.0,18.0,146,0.0091,6.5e-06,9.5e-05,0.00065,0.769,22.502,0.00075,0.0023,0.00085,273.36,0.00015,0.007,1.268,0.00019,0.00033,0.00032,0.119,0.00013,0.078,1e-05,0,16,4,1,5,0,0,14,40,40.0,1
S1,campaign_2,13/10/2025,43.821661,10.336392,7.18,3770,619.0,120.0,28.0,164.01,0.45,961.0,1.0,8.8,152.0,902,0.0138,2e-05,0.00243,0.0011,0.087,0.051,0.00025,0.0017,0.0135,0.066,0.0003,0.0155,1.963,0.0004,0.00012,0.00042,0.06,5e-05,0.0014,0.0001,10,1,0,0,2,0,0,2,15,1.5,0
S2,campaign_2,14/10/2025,43.795564,10.338532,7.12,11620,2699.0,447.0,101.0,156.0,0.0,0.0,0.0,0.0,0.0,3037,0.0094,2e-05,0.0133,0.0025,1.343,0.1165,0.0012,0.00385,0.0305,0.151,0.0058,0.0355,2.332,0.0009,0.00025,0.00095,0.379,0.0001,0.00315,0.0001,0,16,9,0,0,0,0,0,25,2.5,3
S3,campaign_2,15/10/2025,43.78345,10.357024,7.05,1736,253.0,57.0,10.0,136.0,0.3,85.0,1.56,2.0,10.1,1299,0.00156,2e-05,0.00157,0.0006,0.769,2.855,0.00116,0.0037,0.007,0.036,0.0189,0.0085,1.001,0.0002,6.5e-05,0.00023,0.073,5e-05,0.00075,0.0171,0,18,2,0,1,0,0,1,22,2.2,0
S4,campaign_2,20/10/2025,43.817407,10.366752,7.54,628,22.0,10.0,2.0,107.0,0.12,19.8,0.3,0.8,25.9,317,0.0034,1e-05,0.00069,0.00015,0.495,0.154,0.00015,0.00079,0.0017,0.0085,0.00052,0.002,0.36,0.00017,1.55e-05,5e-05,0.02,5e-05,0.0002,0.0001,3,15,8,0,0,0,0,1,27,2.7,0
S5,campaign_2,20/10/2025,43.816014,10.318673,6.96,6850,1223.0,163.0,34.0,112.0,6.0,2309.0,16.0,41.0,18.0,671,0.0065,2e-05,0.0002,0.000205,0.558,88.994,0.00079,0.00275,0.022,32.143,0.000475,0.0255,1.234,0.00065,0.0002,0.0007,0.077,0.0001,0.0023,0.0001,0,6,0,0,0,0,0,3,9,9.0,1
